艦名,艦種,秘書艦種,テーブル,置換先装備,置換先％,置換元装備,置換元％
# 水雷系,,,,,,,
,駆逐艦,水雷系,鋼燃,発煙装置(煙幕),2,8cm高角砲,2
,駆逐艦,水雷系,ボーキ,発煙装置(煙幕),2,彗星,2
「Maestrale」|「Grecale」|「Libeccio」|「Scirocco」,,水雷系,鋼燃,120mm/50 連装砲,2,12.7cm連装砲,2
「Maestrale」|「Grecale」|「Libeccio」|「Scirocco」,,水雷系,弾薬,120mm/50 連装砲,4,九七式艦攻,2
,,,,,,九四式爆雷投射機,2
「Maestrale」|「Grecale」|「Libeccio」|「Scirocco」,,水雷系,ボーキ,Ro.43水偵,2,零式水上偵察機,2
「Maestrale」|「Grecale」|「Libeccio」|「Scirocco」,,水雷系,ボーキ,120mm/50 連装砲,4,九七式艦攻,2
,,,,,,九四式爆雷投射機,2
「Z1」|「Z3」,,水雷系,鋼燃,12.7cm単装砲,2,61cm四連装魚雷,2
「Z1」|「Z3」,,水雷系,弾薬,12.7cm単装砲,6,61cm四連装魚雷,2
,,,,,,強化型艦本式缶,2
,,,,,,九四式爆雷投射機,2
「Z1」|「Z3」,,水雷系,ボーキ,12.7cm単装砲,4,強化型艦本式缶,2
,,,,,,九四式爆雷投射機,2
「秋月」|「照月」|「涼月」|「初月」|「冬月」,,水雷系,鋼燃,91式高射装置,2,33号対水上電探,2
「秋月」|「照月」|「涼月」|「初月」|「冬月」,,水雷系,鋼燃,21号対空電探,4,12cm単装砲,2
,,,,,,14cm単装砲,2
「秋月」|「照月」|「涼月」|「初月」|「冬月」,,水雷系,弾薬,91式高射装置,4,33号対水上電探,2
,,,,,,三式弾,2
「秋月」|「照月」|「涼月」|「初月」|「冬月」,,水雷系,ボーキ,91式高射装置,4,33号対水上電探,2
,,,,,,三式弾,2
「秋月」|「照月」|「涼月」|「初月」|「冬月」,,水雷系,ボーキ,21号対空電探,6,零式艦戦21型,2
,,,,,,零式水上偵察機,2
,,,,,,九三式水中聴音機,2
「阿賀野」|「能代」|「矢矧」|「酒匂」,,水雷系,鋼燃,8cm高角砲,4,12cm単装砲,2
,,,,,,12.7cm連装砲,2
「阿賀野」|「能代」|「矢矧」|「酒匂」,,水雷系,弾薬,8cm高角砲,4,12.7cm連装高角砲,2
,,,,,,九七式艦攻,2
「阿賀野」|「能代」|「矢矧」|「酒匂」,,水雷系,ボーキ,8cm高角砲,4,12.7cm連装高角砲,2
,,,,,,九七式艦攻,2
神通改二,,水雷系,ボーキ,探照灯,6,九六式艦戦,2
,,,,,,零式水上偵察機,2
,,,,,,九三式水中聴音機,2
「神風」|「朝風」|「春風」|「松風」|「旗風」,,水雷系,鋼燃,7.7mm機銃,8,10cm連装高角砲,2
,,,,,,15.5cm三連装副砲,2
,,,,,,九六式艦戦,2
,,,,,,九七式艦攻,2
「神風」|「朝風」|「春風」|「松風」|「旗風」,,水雷系,弾薬,7.7mm機銃,2,15.5cm三連装副砲,2
「睦月」|「如月」|「弥生」|「卯月」|「皐月」|「水無月」|「文月」|「長月」|「菊月」|「三日月」|「望月」,,水雷系,鋼燃,12.7mm単装機銃,10,15.5cm三連装砲,2
,,,,,,15.2cm単装砲,2
,,,,,,零式艦戦21型,2
,,,,,,九九式艦爆,2
,,,,,,15.2cm連装砲,2
「睦月」|「如月」|「弥生」|「卯月」|「皐月」|「水無月」|「文月」|「長月」|「菊月」|「三日月」|「望月」,,水雷系,弾薬,12.7mm単装機銃,6,15.5cm三連装砲,2
,,,,,,15.2cm単装砲,2
,,,,,,15.2cm連装砲,2
「吹雪」|「白雪」|「初雪」|「深雪」|「叢雲」|「薄雲」|「磯波」|「浦波」,,水雷系,鋼燃,25mm単装機銃,10,14cm単装砲,2
,,,,,,15.2cm単装砲,4
,,,,,,零式水上偵察機,2
,,,,,,15.2cm連装砲,2
「吹雪」|「白雪」|「初雪」|「深雪」|「叢雲」|「薄雲」|「磯波」|「浦波」,,水雷系,弾薬,25mm単装機銃,4,15.2cm単装砲,2
,,,,,,15.2cm連装砲,2
吹雪改二|白雪改二,,水雷系,鋼燃,91式高射装置,2,33号対水上電探,2
吹雪改二|白雪改二,,水雷系,弾薬,91式高射装置,4,33号対水上電探,2
,,,,,,三式弾,2
吹雪改二|白雪改二,,水雷系,ボーキ,91式高射装置,4,33号対水上電探,2
,,,,,,三式弾,2
川内改二,,水雷系,ボーキ,九八式水上偵察機(夜偵),2,零式艦戦21型,2
「Helena」,,水雷系,ボーキ,SOC Seagull,4,九三式水中聴音機,4
「大淀」,,水雷系,鋼燃,10cm連装高角砲(砲架),2,九四式爆雷投射機,2
「大淀」,,水雷系,弾薬,10cm連装高角砲(砲架),6,九四式爆雷投射機,4
,,,,,,九九式艦爆,2
「大淀」,,水雷系,ボーキ,10cm連装高角砲(砲架),4,九四式爆雷投射機,2
,,,,,,九九式艦爆,2
「天津風」,,水雷系,鋼燃,強化型艦本式缶,6,12cm単装砲,2
,,,,,,8cm高角砲,2
,,,,,,ドラム缶(輸送用),2
宗谷(灯台補給船)|宗谷(南極観測船),,水雷系,弾薬,カ号観測機,2,彗星,2
宗谷(灯台補給船)|宗谷(南極観測船),,水雷系,ボーキ,カ号観測機,4,零式艦戦32型,2
,,,,,,彗星,2
「山汐丸」,,水雷系,弾薬,カ号観測機,2,天山,2
「山汐丸」,,水雷系,弾薬,三式指揮連絡機(対潜),2,彗星,2
「山汐丸」,,水雷系,弾薬,二式複戦 屠龍,2,12.7cm連装高角砲,2
「山汐丸」,,水雷系,ボーキ,三式戦 飛燕,2,12cm単装砲,2
「山汐丸」,,水雷系,ボーキ,カ号観測機,4,91式高射装置,4
「山汐丸」,,水雷系,ボーキ,三式指揮連絡機(対潜),8,天山,2
,,,,,,彗星,2
,,,,,,零式艦戦52型,2
,,,,,,零式艦戦32型,2
「山汐丸」,,水雷系,ボーキ,二式複戦 屠龍,4,零式水上偵察機,2
,,,,,,12.7cm連装高角砲,2
,海防艦,水雷系,鋼燃,12cm単装高角砲E型,4,20.3cm連装砲,2
,,,,,,61cm四連装(酸素)魚雷,2
,海防艦,水雷系,弾薬,12cm単装高角砲E型,6,14cm単装砲,2
,,,,,,20.3cm連装砲,2
,,,,,,61cm四連装(酸素)魚雷,2
,海防艦,水雷系,ボーキ,12cm単装高角砲E型,2,14cm単装砲,2
藤波改二|早波改二|浜波改二|玉波改二,,水雷系,弾薬,紫電一一型,2,15.5cm三連装砲,2
藤波改二|早波改二|浜波改二|玉波改二,,水雷系,ボーキ,紫電一一型,4,九六式艦戦,2
,,,,,,15.5cm三連装砲,2
# 空母系,,,,,,,
「日向改」,,空母系,弾薬,瑞雲(六三一空),2,九六式艦戦,2
「日向改」,,空母系,ボーキ,瑞雲(六三一空),2,九六式艦戦,2
「伊勢改」,,空母系,ボーキ,瑞雲(六三一空),2,九六式艦戦,2
「Ark Royal」,,空母系,弾薬,Swordfish,4,九七式艦攻,2
,,,,,,九九式艦爆,2
「Ark Royal」,,空母系,弾薬,Fulmar,2,零式水上偵察機,2
「Ark Royal」,,空母系,ボーキ,Swordfish,6,九七式艦攻,2
,,,,,,零式艦戦21型,2
,,,,,,九九式艦爆,2
「Ark Royal」,,空母系,ボーキ,Fulmar,4,零式艦戦52型,2
,,,,,,零式水上偵察機,2
「Commandant Teste」,,空母系,弾薬,Laté 298B,4,九七式艦攻,2
,,,,,,流星,2
「Commandant Teste」,,空母系,ボーキ,Laté 298B,8,九七式艦攻,2
,,,,,,零式艦戦21型,2
,,,,,,零式艦戦52型,2
,,,,,,流星,2
「Saratoga」|「Lexington」|「Hornet」,,空母系,弾薬,SBD,6,流星,2
,,,,,,九九式艦爆,2
,,,,,,瑞雲,2
「Saratoga」|「Lexington」|「Hornet」,,空母系,ボーキ,SBD,6,流星,2
,,,,,,九九式艦爆,2
,,,,,,瑞雲,2
「Saratoga」|「Lexington」|「Hornet」,,空母系,ボーキ,F4F-3,6,九六式艦戦,2
,,,,,,零式艦戦21型,4
「Lexington」,,空母系,弾薬,SBD(Yellow Wings),2,彗星,2
「Lexington」,,空母系,弾薬,TBD(Yellow Wings),2,天山,2
「Lexington」,,空母系,ボーキ,SBD(Yellow Wings),2,彗星,2
「Lexington」,,空母系,ボーキ,TBD(Yellow Wings),2,天山,2
「蒼龍」|「飛龍」,,空母系,弾薬,九九式艦爆,4,零式水上偵察機,2
,,,,,,三式弾,2
「蒼龍」|「飛龍」,,空母系,ボーキ,九九式艦爆,4,零式水上偵察機,2
,,,,,,三式弾,2
「大鳳」,,空母系,弾薬,彗星,2,零式艦戦21型,2
「大鳳」,,空母系,ボーキ,彗星,4,零式艦戦21型,2
,,,,,,13号対空電探,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,大発動艇,8,甲標的 甲型,6
,,,,,,改良型艦本式タービン,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,7.7mm機銃,4,10cm連装高角砲,4
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,12.7mm単装機銃,4,零式艦戦21型,2
,,,,,,零式艦戦52型,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,カ号観測機,4,零式艦戦32型,2
,,,,,,瑞雲,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,三式指揮連絡機(対潜),8,零式水上偵察機,6
,,,,,,零式水上観測機,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,一式戦 隼II型,4,強化型艦本式缶,2
,,,,,,33号対水上電探,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,鋼燃,二式複戦 屠龍,4,12.7cm連装高角砲,2
,,,,,,25mm連装機銃,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,三式戦 飛燕,2,彗星一二型甲,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,大発動艇,2,甲標的 甲型,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,7.7mm機銃,4,10cm連装高角砲,4
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,12.7mm単装機銃,4,零式水上偵察機,4
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,カ号観測機,2,零式艦戦62型(爆戦),2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,三式指揮連絡機(対潜),6,天山,6
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,一式戦 隼II型,8,瑞雲,6
,,,,,,流星改,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,二式複戦 屠龍,6,三式弾,4
,,,,,,彗星,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,弾薬,二式12cm迫撃砲改,2,25mm連装機銃,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,三式戦 飛燕,2,流星改,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,7.7mm機銃,2,零式艦戦62型(爆戦),2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,12.7mm単装機銃,2,零式水上偵察機,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,カ号観測機,4,試製烈風 後期型,2
,,,,,,紫電改二,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,三式指揮連絡機(対潜),4,彗星,2
,,,,,,彗星一二型甲,2
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,一式戦 隼II型,8,彩雲,4
,,,,,,三式弾,4
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,二式複戦 屠龍,12,瑞雲,6
,,,,,,天山,6
「あきつ丸」|「神州丸」|「熊野丸」|宗谷(特務艦),,空母系,ボーキ,二式12cm迫撃砲改,2,二式艦上偵察機,2
「大鳳改」|「翔鶴改二」|「瑞鶴改二」,,空母系,ボーキ,試製烈風 後期型,2,紫電一一型,2
「Graf Zeppelin」,,空母系,弾薬,三式戦 飛燕,2,瑞雲,2
「Graf Zeppelin」,,空母系,ボーキ,三式戦 飛燕,2,瑞雲,2
# 潜水系,,,,,,,
「Scamp」|「Salmon」,,潜水系,鋼燃,21inch艦首魚雷発射管6門(初期型),4,甲標的 甲型,4
「Scamp」|「Salmon」,,潜水系,鋼燃,潜水艦後部魚雷発射管4門(初期型),4,ドラム缶(輸送用),4
「Scamp」|「Salmon」,,潜水系,鋼燃,21inch艦首魚雷発射管4門(初期型),4,後期型艦首魚雷(6門),2
,,,,,,後期型艦首魚雷(4門),2
「Scamp」|「Salmon」,,潜水系,弾薬,21inch艦首魚雷発射管6門(初期型),8,後期型艦首魚雷(6門),6
,,,,,,甲標的 甲型,2
「Scamp」|「Salmon」,,潜水系,弾薬,潜水艦後部魚雷発射管4門(初期型),4,ドラム缶(輸送用),4
「Scamp」|「Salmon」,,潜水系,弾薬,21inch艦首魚雷発射管4門(初期型),4,後期型艦首魚雷(4門),4
「Scamp」|「Salmon」,,潜水系,ボーキ,21inch艦首魚雷発射管6門(初期型),4,後期型艦首魚雷(6門),4
「Scamp」|「Salmon」,,潜水系,ボーキ,潜水艦後部魚雷発射管4門(初期型),2,後期型艦首魚雷(4門),2
「Scamp」|「Salmon」,,潜水系,ボーキ,21inch艦首魚雷発射管4門(初期型),2,ドラム缶(輸送用),2
,潜水母艦,潜水系,鋼燃,潜水艦搭載電探&水防式望遠鏡,2,零式水上偵察機,2
,潜水母艦,潜水系,弾薬,潜水艦搭載電探&水防式望遠鏡,2,零式水上偵察機,2
,潜水母艦,潜水系,ボーキ,潜水艦搭載電探&水防式望遠鏡,2,零式水上偵察機,2
